order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD101108,ID0577456440,2019-05-20,Bakers,"[('Candle Inferno', 1), ('Alcon 10', 1)]",9380.0,81.52,-37.8231459,144.9885529,10,8523.52,Autumn,True,1.5772,convoy 2 yes i like my convoy. a few more surface blemishes than i had hoped for but very functional. i think it will serve me well.,1.0
ORD116859,ID0233255225,2019-11-24,,"[('Alcon 10', 1), ('Thunder line', 2)]",13310.0,83.04,-37.7988316,144.98308369999995,25,10065.54,Spring,False,,so happy with it so far this is the most underrated phone... so happy with it so far!,1.0
ORD162115,ID0248746945,2019-03-03,Bakers,"[('Candle Inferno', 1), ('Lucent 330S', 2), ('Thunder line', 2), ('Olivia x460', 2)]",9700.0,66.68,-37.823082,144.99159469999995,15,8311.68,Autumn,False,1.4914,highly recommend ! this phone is perfect. i love it. brand new as described. works great. couldn't be happier. great packing was on time. a first class transaction all the way !,1.0
ORD460515,ID1492150953,2019-11-18,Thompson,"[('Alcon 10', 2), ('iAssist Line', 1), ('Thunder line', 2), ('Candle Inferno', 1)]",24915.0,85.01,-37.8145433,144.9520468,15,21262.76,Spring,True,0.4847,headphone missing headphone is not available inside box please advise,0.0
ORD173206,ID0746912558,2019-03-23,Nickolson,"[('iAssist Line', 2), ('Lucent 330S', 2)]",6910.0,81.87,-37.8248028,144.9828208,10,6300.87,Autumn,True,1.3561,"best ❤ phone my son loves his new phone. he upgraded and is amazing how good phone works and, camera features.",1.0
ORD319150,ID0207085408,2019-03-30,Bakers,"[('Toshika 750', 2), ('Lucent 330S', 2), ('Candle Inferno', 1)]",11530.0,67.21,-37.811672,145.0153872,10,10444.21,Autumn,False,1.7823,very pleased with this phone. looks and works like its brand new,1.0
ORD185539,ID6167440977,2019-07-11,Nickolson,"[('iStream', 2), ('Thunder line', 1), ('Olivia x460', 2), ('Alcon 10', 1)]",13880.0,51.56,-37.8151371,144.9637175,25,10461.56,Winter,False,0.6413,"no está mi pedido he comprado este móvil el día 5 de julio, me han descontado el dinero y ni siquiera figura en mis pedidos.",0.0
ORD252160,ID4793613062,2019-01-07,Thompson,"[('iStream', 2), ('Lucent 330S', 2)]",2760.0,97.01,-37.8079694,144.9340681,0,2857.01,Summer,True,1.2576,four stars it works pretty good abroad. a bought it for a good price and works very good with windows.,1.0
ORD428364,ID0441587733,2019-03-11,Thompson,"[('Candle Inferno', 1), ('Lucent 330S', 1)]",1660.0,65.09,-37.8143802,144.9382043,25,1310.09,Autumn,False,0.8024,"overall great value for money the phone works great, speaker quality is good and display is good. the hid the notch feature don't really make sense though",1.0
ORD286690,ID4927643640,2019-11-04,Thompson,"[('Thunder line', 1), ('iStream', 1)]",2330.0,80.95,-37.8056537,144.9332706,15,2061.45,Spring,False,1.4433,"great phone for the money moved up from a lucent g5s+ w/ 64gb memory, 4gb ram, 2.0 ghz processor. the g6 i bought has 32gb memory, 3gb ram and a 1.8 processor, but i find it to be just as fast if not faster than the old phone. battery life is great, lasts all day. easy to use and set up.",1.0
ORD292791,ID0634783569,2019-05-24,Thompson,"[('Alcon 10', 2), ('iStream', 2)]",18200.0,79.05,-37.8127454,144.93719109999995,10,16459.05,Autumn,True,0.8687,pros:great value for moneyenough power to handle lot of android gamesdecent battery lifecons:feels slow after using for a few weekslow-resolution screen and camera.,1.0
ORD052271,ID0214146589,2019-04-12,Nickolson,"[('Toshika 750', 1), ('Olivia x460', 2), ('Thunder line', 1)]",8950.0,66.35,-37.8056609,144.97146940000005,15,7673.85,Autumn,True,1.4496,careful who you buy from. phone kept cycling on and off and wouldn't stay on since i have received it 3 days ago . batterylife horrible only will stay charged for 4 hours .,0.0
ORD012631,ID1833120507,2019-11-16,Thompson,"[('iAssist Line', 1), ('Olivia x460', 2)]",4675.0,108.91,-37.79970460000001,144.9550666,10,4316.41,Spring,True,1.6059,"this phone is amazing! the camera takes the most clear and crisp ... this phone is amazing! the camera takes the most clear and crisp photos the speaker is loud, which is perfect for listening to music! i absolutely love this phone and am so glad that i bought it!",1.0
ORD330874,ID0844489347,2019-11-09,Thompson,"[('iAssist Line', 2), ('Lucent 330S', 2)]",6910.0,102.68,-37.8207969,144.94801669999995,10,6321.68,Spring,True,0.9081,"value, great camera very happy with this phone. my only complaint is the fingerprint can be a little ""touchy"" tho face recognition works amazing!! ver good value compared to olivia",1.0
ORD048189,ID1479905312,2019-05-23,Thompson,"[('iAssist Line', 2), ('iStream', 1), ('Candle Inferno', 2)]",5460.0,51.38,-37.8212135,144.95571619999996,10,4965.38,Autumn,False,1.2174,very disappointed as it was a present for my teenage son did not work. it wouldn't charge and the microphone was not working. very disappointed as it was a present for my teenage son.,0.0
ORD337872,ID0591415025,2019-08-14,Nickolson,"[('Alcon 10', 2), ('Thunder line', 1)]",20080.0,65.72,-37.8191633,144.961103,15,17133.72,Winter,False,0.7456,i put it on a tv that didn’t have a great picture and it now looks like a new tv,1.0
