order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD065819,ID2441346319,2019-06-03,Bakers,"[('Lucent 330S', 2), ('Alcon 10', 2), ('Universe Note', 2), ('Candle Inferno', 2)]",28120,68.92,-37.8047445,144.9837319,10,25376.92,Winter,False,1.1682,cadillac phone best phone yet!,True
ORD196071,ID0257506016,2019-02-04,Thompson,"[('pearTV', 2), ('Lucent 330S', 2)]",15080,72.17,-37.7991145,144.9632575,25,11382.17,Summer,False,2.0749,"not compatible with verizon it says it's verizon wireless compatible, but it's not. verizon technical support said they would be unable to activate it. only works with ""alltel"" plans.",False
ORD435472,ID0664379340,2019-03-05,Nickolson,"[('Thunder line', 1), ('pearTV', 2), ('Toshika 750', 2)]",23440,64.03,-37.8205013,144.9656908,5,22332.03,Autumn,False,0.4003,it is s great tool helping with information.,True
ORD023376,ID0746912568,2019-11-11,Nickolson,"[('iAssist Line', 2), ('Toshika 750', 1), ('pearTV', 2)]",21390,91.1,-37.8244373,144.9830501,15,18272.6,Spring,True,1.3535,"is not usable with sprint this phone has no sim card, even though i specifically called and asked about it. it will not work with sprint, cannot be unlocked and in order to work with sprint you will have to buy a new sim card",False
ORD394191,ID0591233417,2019-04-11,Thompson,"[('Olivia x460', 2), ('Universe Note', 2)]",9350,68.18,-37.8245751,144.95283659999996,25,7080.68,Autumn,True,1.4186,"not as good as expected thought this phone would be much faster, but its no faster than my old phone. the picture quality is ok. just disappointed over all. plus the seller sent me the wrong charger, so i had to go out and purchase one. not a satisfied customer!",False
ORD499311,ID6206878685,2019-11-19,Nickolson,"[('Universe Note', 1), ('iAssist Line', 1), ('Candle Inferno', 2)]",6535,53.585,-37.824845,144.9576466,10,5935.085,Spring,True,1.2569,good phone it is very nice phone . i love it,True
ORD165935,ID2189269632,2019-02-01,Nickolson,"[('Alcon 10', 2), ('Lucent 330S', 2)]",20360,71.2,-37.820933,144.9614707,10,18395.2,Summer,False,0.7567,nice phone grandson replaced his alcon. loves this one.,True
ORD270435,ID2469584357,2019-10-05,Bakers,"[('Universe Note', 2), ('Candle Inferno', 1), ('Olivia x460', 2)]",9780,80.07,-37.7999886,144.98885790000003,15,8393.07,Spring,False,1.2471,"great product i have the phone for 3 weeks now, so far so good.. like new both functionality and cosmetics, everything works great, delivered in time, worked in the us on mintmobile",True
ORD490025,ID0711328220,2019-09-05,Thompson,"[('iStream', 1), ('Toshika 750', 1)]",4470,103.17,-37.8079334,144.9578607,5,4349.67,Spring,True,1.0859,five stars love my phone it's very fast and works perfectly camera is very good,True
ORD361134,ID0385165473,2019-08-19,Bakers,"[('iAssist Line', 2), ('Lucent 330S', 1), ('Candle Inferno', 1), ('Toshika 750', 1)]",10430,80.22,-37.8006258,144.98197199999996,10,9467.22,Winter,True,1.5646,"great came in near perfect condition. amazing for the price. battery life is a little used up, but more than enough to get through the day under heavy use (music, apps, videos).",True
ORD198507,ID0130040956,2019-02-14,Thompson,"[('pearTV', 2), ('Candle Inferno', 1)]",13050,85.59,-37.8029953,144.92810690000005,5,12483.09,Summer,False,1.9854,five stars nice phone for little kids,True
ORD172734,ID0634777749,2019-03-30,Thompson,"[('Thunder line', 2), ('pearTV', 2), ('iStream', 1)]",17130,79.53,-37.8148928,144.93754850000005,15,14640.03,Autumn,True,0.8729,good basic phone good little basic phone .. what else do you expect ?,True
ORD258974,ID2189475426,2019-10-02,Nickolson,"[('Olivia x460', 2), ('pearTV', 2)]",15070,76.06,-37.8123039,144.9735149,5,14392.56,Spring,False,0.7823,great phone. gave 4 stars cause box seal was ... great phone. gave 4 stars cause box seal was already broken. seems from other reviews that this happens to these international phones.,True
ORD374562,ID3676171113,2019-03-20,Bakers,"[('iStream', 2), ('Olivia x460', 1)]",1525,85.27,-37.8196201,145.01549530000003,25,1229.02,Autumn,True,2.0792,highly recommended it's perfect,True
ORD035804,ID1449308543,2019-05-29,Bakers,"[('Thunder line', 1), ('iAssist Line', 1), ('Alcon 10', 2)]",22305,65.68,-37.8163669,144.98792869999997,15,19024.93,Autumn,False,0.9568,excellent the phone looks well and works well... i can't ask for a better phone...,True
ORD289191,ID6167489386,2019-10-21,Thompson,"[('iAssist Line', 2), ('pearTV', 1), ('Candle Inferno', 2)]",11620,102.99,-37.8095626,144.9575167,25,8817.99,Spring,True,0.9819,i absolutely love my show!,True
ORD495313,ID4418536056,2019-11-01,Thompson,"[('pearTV', 1), ('Olivia x460', 1), ('iAssist Line', 1)]",9760,83.42,-37.8025047,144.9629879,0,9843.42,Spring,False,1.8004,lucentrola's are awesome older model works like a champ!!,True
ORD413090,ID4716795375,2019-12-04,Thompson,"[('Candle Inferno', 2), ('iAssist Line', 1)]",3085,93.34,-37.818839,144.95310590000003,0,3178.34,Summer,True,0.8677,five stars the best phone in your type!!!,True
ORD206825,ID0247417665,2019-05-20,Nickolson,"[('pearTV', 1), ('Thunder line', 1), ('Toshika 750', 1)]",12810,62.51,-37.8175855,144.96892219999995,15,10951.01,Autumn,True,0.1252,one star already having problems charging,False
ORD109724,ID0639368399,2019-09-19,Thompson,"[('Thunder line', 2), ('Candle Inferno', 1)]",4790,79.55,-37.8208657,144.95518719999995,10,4390.55,Spring,False,1.1582,five stars great product,True
ORD090476,ID1132069602,2019-07-20,Thompson,"[('Toshika 750', 2), ('iAssist Line', 1)]",10865,61.72,-37.8141568,144.9446599,25,8210.47,Winter,False,0.2686,"good phone without all of the bells and whistles if you just want a phone without a lot of extras and battery life is important, this is the phone for you,",True
ORD420755,ID0243097397,2019-09-04,Nickolson,"[('iAssist Line', 1), ('Lucent 330S', 1)]",3455,72.4,-37.8179366,144.966773,0,3527.4,Spring,False,0.255,renewal is great the price was perfect and it works good,True
ORD425805,ID0291965872,2019-02-23,Nickolson,"[('pearTV', 1), ('Toshika 750', 1)]",10630,82.99,-37.8251753,144.9569422,15,9118.49,Summer,True,1.3288,"it's missing 5 lte bands. not good for usa costumers this model m1906g7g does not come with all the lte bands as described by the seller. bands b12, b17, b34, b39, and b41 are missing. also, you will need to reboot your phone if you wanna switch from hspa+, 3.5g/ 4g to real lte. this phone doesn't switch to lte automatically.",False
